Dolibarr Schema Summary — addvaluesystem_upver
=======================================================
Total tables: 388

Table Name                                          Cols     Rows
llx_product_fournisseur_price_log                     11       13
llx_product_lang                                       7       14
llx_product_lot                                       22        5
llx_product_lot_extrafields                            4        0
llx_product_perentity                                 10        0
llx_product_price                                     29       30
llx_product_price_by_qty                              17        0
llx_product_price_extrafields                          4        0
llx_product_pricerules                                 5        0
llx_product_stock                                      6        1
llx_product_thirdparty                                18        0
llx_product_warehouse_properties                       7        0
llx_projet                                            44        7
llx_projet_extrafields                                 4        0
llx_projet_task                                       28       32
llx_projet_task_extrafields                            4        0
llx_propal                                            58       12
llx_propal_extrafields                                 4        0
llx_propal_merge_pdf_product                           9        0
llx_propaldet                                         42       66
llx_propaldet_extrafields                              4        0
llx_reception                                         33        1
llx_reception_extrafields                              4        0
llx_receptiondet_batch                                19        4
llx_receptiondet_batch_extrafields                     4        0
llx_recruitment_recruitmentcandidature                26        0
llx_recruitment_recruitmentcandidature_extrafields     4        0
llx_recruitment_recruitmentjobposition                24        1
llx_recruitment_recruitmentjobposition_extrafields     4        0
llx_resource                                          27        1
llx_resource_extrafields                               4        0
llx_rights_def                                        13        1
llx_salary                                            23        2
llx_salary_extrafields                                 4        0
llx_session                                            7        0
llx_societe                                           98        9
llx_societe_account                                   22        0
llx_societe_address                                   15        0
llx_societe_commerciaux                                5        2
llx_societe_contacts                                   8        1
llx_societe_extrafields                                4        0
llx_societe_log                                        7        0
llx_societe_perentity                                 10        0
llx_societe_prices                                     6        0
llx_societe_remise                                     8        0
llx_societe_remise_except                             23        1
llx_societe_remise_supplier                            8        0
llx_societe_rib                                       52        1
llx_socpeople                                         43        9
llx_socpeople_extrafields                              4        0
llx_stock_mouvement                                   19       15
llx_stock_mouvement_extrafields                        4        0
llx_subscription                                      12        1
llx_supplier_proposal                                 43       14
llx_supplier_proposal_extrafields                      4        0
llx_supplier_proposaldet                              42       28
llx_supplier_proposaldet_extrafields                   4        0
llx_takepos_floor_tables                               6        0
llx_ticket                                            36        1
llx_ticket_extrafields                                 4        0
llx_tva                                               17        0
llx_user                                              80        2
llx_user_alert                                         4        1
llx_user_clicktodial                                   5        0
llx_user_employment                                   16        0
llx_user_extrafields                                   4        0
llx_user_param                                         4        1
llx_user_rib                                          21        1
llx_user_rights                                        4        1
llx_usergroup                                          7        1
llx_usergroup_extrafields                              4        0
llx_usergroup_rights                                   4        1
llx_usergroup_user                                     4        1
llx_webhook_history                                   12        0
llx_website                                           26        0
llx_website_extrafields                                4        0
llx_website_page                                      24        0
llx_workstation_workstation                           16        0
llx_workstation_workstation_resource                   4        0
llx_workstation_workstation_usergroup                  4        0
llx_zapier_hook                                       11        0

                                                  TOTAL     1108
